Puchong
00:0f:13:40:0f:ab
08:60:6e:ea:33:50
10:be:f5:2f:af:80
34:40:b5:8d:55:94
34:69:87:c5:a9:43
9c:1c:12:0f:fa:00
9c:1c:12:0f:fa:01
c0:56:27:14:1f:cb
d0:17:c2:86:77:2d
e0:b9:e5:df:0d:71
