Cyberjaya
18:a6:f7:9e:bb:13
18:a6:f7:9e:bb:14
1e:a6:f7:9e:bb:14
40:a5:ef:05:83:db
50:63:13:25:73:86
5c:e0:c5:02:2b:91
64:d1:54:2a:a2:de
84:3a:4b:3a:c2:8c
9c:b7:0d:78:b0:d2
9c:d2:1e:74:e0:f5
d4:6e:0e:80:9c:93
d4:6e:0e:80:9c:94
d4:6e:0e:80:af:fb
d4:6e:0e:80:af:fc
