a0:cb:fd:eb:e4:36
da:a1:19:ed:56:89
6c:5c:14:ac:4f:25
b2:0b:b4:af:88:0f
2c:5b:b8:7b:50:be
ac:38:70:49:50:c6
dc:66:72:05:0e:01
e4:47:90:74:89:4b
ec:f3:42:2a:02:b9
da:a1:19:67:2a:56
24:0a:11:bc:a4:50
da:a1:19:9d:00:06
da:a1:19:3e:7a:2d
e8:93:09:c3:64:e8
44:6e:e5:36:2b:98
c8:38:70:d7:28:ec
8c:79:67:d7:4d:22
9c:a5:c0:0d:37:2e
2a:ee:d2:37:7f:5a
2e:70:cd:0e:78:25
9c:99:a0:04:76:0b
a4:84:31:2d:2c:93
e0:dd:c0:fb:fd:91
e0:dd:c0:f4:e9:01
66:36:6e:dd:06:4d
da:a1:19:e3:14:7e
f4:cb:52:ae:b9:5e
50:c8:e5:60:f7:57
92:86:91:ff:48:83
84:98:66:65:02:fd
e0:dd:c0:0f:63:e0
da:a1:19:fb:d7:3e
dc:1a:c5:f7:37:71
90:97:f3:33:7f:66
da:a1:19:9c:87:3b
4a:ee:32:c0:70:ee
da:a1:19:83:c9:31
e4:5a:a2:e7:cf:0c
ce:c7:13:54:70:83
da:a1:19:ae:62:4d
ac:83:f3:83:fb:d1
ac:c1:ee:cf:8a:0c
80:6c:1b:e9:77:7c
08:23:b2:e5:e9:66
38:2c:4a:06:57:96
ec:10:7b:89:66:7c
b0:e2:35:7f:3f:07
bc:4c:c4:ef:6e:c8
a4:84:31:19:61:14
ec:10:7b:88:57:c0
18:e2:9f:f9:e0:43
18:22:7e:59:19:36
00:5a:13:17:0f:16
b6:f7:50:b1:d6:76
30:07:4d:7d:19:19
d0:fc:cc:59:c8:d2
98:6f:60:b8:55:c9
da:a1:19:43:07:20
d4:ae:05:fa:97:51
0a:ef:b8:90:cb:0e
c8:38:70:90:8f:9d
60:83:34:5a:0f:5c
70:72:0d:3b:36:f9
da:a1:19:5f:66:cc
da:a1:19:4a:c5:b0
78:00:9e:c2:4e:cc
e4:47:90:00:40:70
da:a1:19:3b:66:cb
30:07:4d:6d:ff:b5
da:a1:19:f6:cc:9a
a0:32:99:cf:78:a5
da:a1:19:b6:e3:1f
0a:fd:1c:6b:8c:fb
58:c5:cb:1f:93:dd
1c:48:ce:b6:d5:6d
c8:38:70:11:ee:a7
26:bd:ba:22:5d:87
9c:a5:c0:ec:c2:11
54:72:4f:61:2f:dc
84:b5:41:19:45:08
da:a1:19:25:d4:58
f4:cb:52:dd:fa:34
14:a5:1a:f5:23:af
c0:ee:fb:80:ec:9b
2e:34:d4:cc:c6:7f
00:27:15:06:52:f3
ce:03:04:52:35:ae
50:3c:c4:d9:20:f4
78:00:9e:1e:eb:88
ac:c1:ee:33:97:43
d4:ae:05:56:e6:1b
38:2c:4a:13:22:7c
da:a1:19:89:03:e3
44:6e:e5:c4:da:92
da:a1:19:20:8c:fa
ce:d6:ae:97:22:9f
f0:1b:6c:a5:6e:91
bc:a9:20:56:9d:bd
6c:5c:14:47:2f:85
4c:1a:3d:7c:32:bc
da:a1:19:fc:09:84
f0:1b:6c:a2:aa:75
5e:b6:a3:38:2b:25
90:00:db:29:11:7d
ac:37:43:c9:95:f6
4c:1a:3d:4b:4b:49
58:c5:cb:bb:04:4b
d4:ae:05:e3:24:51
ac:af:b9:b1:51:a4
28:5a:eb:c1:69:86
9c:b2:b2:d0:24:e6
00:08:22:7a:c1:fb
a0:32:99:53:7e:fe
7c:91:22:e7:23:8b
6c:5c:14:25:00:99
da:a1:19:4e:8f:3f
d4:ae:05:3e:40:63
4c:21:d0:2b:3e:4c
c8:38:70:d8:e0:a1
da:a1:19:9c:87:ba
da:a1:19:73:f0:23
e8:50:8b:f1:de:4a
ac:5f:3e:0c:e7:c7
44:2c:05:ce:ca:db
4c:1a:3d:6d:e7:56
2c:56:dc:2c:06:9f
3c:b6:b7:0d:05:e2
4c:66:41:c1:cf:ba
30:5a:3a:ef:96:10
44:d4:e0:d1:fc:87
2c:56:dc:69:87:85
a4:71:74:5e:af:d0
90:06:28:34:ce:c5
20:a9:0e:5f:f6:4d
28:fa:a0:ee:90:38
40:45:da:c6:9a:f6
64:cc:2e:44:39:2e
18:89:5b:fd:5b:cf
a4:3d:78:d0:29:77
a4:3d:78:c4:ec:4b
da:a1:19:3d:e7:4d
08:3d:88:87:dd:b3
fc:4d:d4:71:84:77
24:61:5a:59:17:e9
a0:cb:fd:05:52:3a
f0:ee:10:78:73:bc
d4:ae:05:67:f4:0f
48:13:7e:e6:da:0d
60:83:34:5b:07:77
76:04:2b:94:40:37
70:8a:09:fc:7e:4a
bc:b3:08:9e:9e:48
38:94:96:d9:13:23
dc:6d:cd:c9:c1:89
5c:e0:c5:b1:fe:2c
da:a1:19:b5:c0:a0
7a:40:4e:d5:c1:58
40:3f:8c:17:0b:65
c2:04:a3:ab:28:bd
5c:93:a2:d4:03:46
06:3a:e0:fd:f8:be
da:a1:19:40:e5:95
1c:da:27:f2:b9:06
9c:a5:c0:dc:c7:7f
38:2d:e8:ab:62:75
00:e3:b2:05:9f:30
ac:5f:3e:78:4f:7d
00:88:65:45:8a:af
da:a1:19:95:de:14
e2:f4:6a:26:14:ec
ec:9b:f3:94:e9:b0
c6:04:35:27:94:3d
c0:d3:c0:10:4e:fd
ac:cf:85:e9:20:02
d8:c4:e9:e4:84:79
f0:1b:6c:a3:17:6b
00:12:36:ba:1f:36
1c:b7:2c:55:4c:ab
04:52:f3:46:f5:3d
40:d3:ae:2b:0b:74
