macsTodayTMQM
e8:65:49:1c:cb:82
e8:65:49:1c:cb:81
e8:65:49:1c:cb:83
e8:65:49:40:0c:40
14:3e:bf:bf:27:ce
e8:65:49:40:0c:42
00:26:75:f2:94:e6
00:1b:77:08:99:df
e8:65:49:1c:cb:80
94:db:c9:41:99:1d
e4:8d:8c:dc:5c:67
e8:65:49:40:0c:43
00:0c:29:b7:a2:34
50:2a:8b:33:66:08
f0:1b:6c:a6:60:17
80:4e:81:6e:65:69
e8:65:49:40:0c:41
00:26:9e:82:db:0a
9c:b7:0d:50:ba:a0
30:10:b3:6a:2f:b0
b8:09:8a:8d:b8:4b
b0:c0:90:b6:c8:99
54:e4:bd:ea:f4:d6
00:26:9e:82:db:08
f0:7b:cb:1c:0b:43
cc:d5:39:d0:3f:a0
e8:65:49:40:23:00
00:18:0a:0f:5a:88
20:7c:8f:81:48:65
e0:b9:a5:fc:eb:d5
78:dd:08:c7:b6:17
d4:ca:6d:74:52:d1
80:00:0b:34:56:f2
00:22:69:4c:04:e3
54:e4:bd:f0:38:87
54:e4:bd:f8:fb:c5
00:27:10:54:d8:a0
fc:42:03:61:f3:e1
38:1d:d9:b7:f5:eb
84:3a:4b:3c:a0:b0
6c:71:d9:51:15:95
1c:5f:2b:08:b2:dc
e8:cc:18:d7:42:20
3c:a9:f4:b3:34:2c
28:e3:47:a3:58:8d
cc:af:78:c5:78:21
e8:b1:fc:78:03:a2
54:a2:74:c9:f0:e1
54:a2:74:c9:f0:e0
54:a2:74:c9:f0:e2
00:27:10:c0:24:48
00:15:c5:c8:66:d2
48:d2:24:d0:99:16
54:a2:74:c9:f0:e3
2c:56:dc:a6:b1:2d
d0:67:e5:71:a2:9e
a0:2c:36:60:4e:99
00:d0:b8:1e:d4:1d
00:24:d7:4b:13:20
e8:65:49:37:cc:60
00:18:de:db:ca:52
e8:b1:fc:78:de:9e
e4:8d:8c:c6:47:b7
80:cf:41:e3:ba:c7
00:1e:58:fb:44:3f
80:00:0b:33:ca:39
54:a2:74:d6:bd:b2
54:a2:74:d6:bd:b1
54:a2:74:d6:bd:b3
1c:5f:2b:36:56:48
54:a2:74:d6:bd:b0
84:b5:41:ea:cb:26
80:00:0b:1c:d5:2c
58:8b:f3:4e:15:ce
84:3a:4b:3c:02:b0
10:1c:0c:78:5e:53
da:a1:19:57:f1:db
da:a1:19:07:a4:f5
20:a9:0e:67:aa:29
da:a1:19:4d:8f:d1
d4:ca:6d:56:4f:15
c8:38:70:d8:eb:1d
9a:6f:60:b9:e1:09
da:a1:19:60:ff:b3
92:e2:d1:a2:ea:aa
98:de:d0:2c:e3:e5
da:a1:19:fc:9b:4f
08:23:b2:e3:44:3a
da:a1:19:a7:90:44
b4:ae:2b:2c:16:79
da:a1:19:20:e7:9f
14:36:c6:70:79:01
ac:c1:ee:2f:7c:54
7c:e9:d3:51:df:29
7c:46:85:89:e0:22
c0:cb:38:22:dd:b0
80:26:89:ac:62:a0
da:a1:19:cb:2c:5a
82:2c:f4:ed:36:28
14:36:c6:70:5b:d7
a0:b4:a5:6a:4a:e7
14:f6:5a:64:af:f5
9c:4e:36:ce:32:f4
da:a1:19:25:57:f4
c8:38:70:1f:6a:6d
a8:81:95:e5:21:06
da:a1:19:45:68:b3
08:ed:b9:ee:bc:4d
34:14:5f:30:33:49
00:87:01:75:7e:f4
da:a1:19:fb:46:d7
00:25:42:f0:d5:76
da:a1:19:01:61:65
00:25:42:00:d5:76
dc:6d:cd:25:30:c3
da:a1:19:c5:e8:ac
80:65:6d:75:a2:c8
ac:5f:3e:50:fa:6d
00:22:fb:20:f8:84
50:9e:a7:40:14:27
da:a1:19:89:e4:1d
da:a1:19:4c:98:b2
da:a1:19:f9:91:fe
da:a1:19:ae:2a:2d
5c:f8:a1:49:90:7e
28:c2:dd:6c:20:3b
ec:9b:f3:aa:30:17
b0:c0:90:c4:95:41
74:29:af:88:65:39
34:69:87:61:5e:43
06:5c:35:ed:c6:d4
54:27:58:8a:4c:54
48:88:ca:ad:ac:7b
da:a1:19:2b:0c:ec
da:a1:19:f1:ce:08
da:a1:19:a9:74:5e
f8:23:b2:f9:ec:56
da:a1:19:d4:f7:ee
da:a1:19:cc:7a:54
da:a1:19:d2:16:0a
52:15:ef:6a:78:46
30:89:d3:80:c9:a0
4c:1a:3d:7a:21:81
e8:65:49:1c:b0:c0
38:1d:d9:71:34:03
bc:76:5e:f1:13:3a
da:a1:19:07:38:ec
98:6f:60:b9:e1:09
e8:65:49:32:f7:82
84:3a:4b:3c:99:30
64:cc:2e:ee:93:4c
80:00:0b:35:ec:ba
f8:16:54:f0:fa:aa
3c:a9:f4:b2:a0:24
84:8e:df:52:9b:f0
e8:65:49:40:23:21
e8:65:49:40:23:23
8c:70:5a:3f:53:18
6c:71:d9:7b:a5:99
e8:65:49:32:f7:84
00:19:d2:6a:53:ed
4c:1a:3d:6e:db:9c
68:72:51:60:d7:58
1c:b7:2c:28:45:11
e8:65:49:32:f7:81
b4:3a:28:0a:05:0b
88:ad:d2:13:85:99
74:c6:3b:83:4b:71
74:23:44:42:06:07
da:a1:19:50:7f:95
44:33:4c:36:e9:84
00:1d:e0:90:30:0b
e0:dd:c0:0d:d8:04
c4:85:08:5a:09:9c
02:0c:03:eb:c5:79
d8:5d:e2:9a:81:95
2c:d0:5a:75:ff:65
58:20:b1:74:d8:22
c4:42:02:99:b9:78
00:1a:73:37:e5:20
00:24:d7:c0:f3:80
80:00:0b:b9:8c:19
7c:7d:3d:e6:ab:ec
5c:e0:c5:03:b2:86
12:c4:bd:7f:da:ff
80:00:0b:1c:ae:53
00:0c:29:40:ab:2b
10:2a:b3:f8:d5:40
18:a6:f7:9d:ec:db
18:a6:f7:9d:ec:dc
e8:bb:a8:95:bf:c7
da:a1:19:ea:82:34
00:1a:73:38:00:c8
a0:d3:c1:08:34:0b
dc:ee:06:4d:20:1d
d0:22:be:f3:5a:27
90:8d:6c:e9:1c:0d
44:33:4c:57:4a:4f
ec:0e:c4:63:78:23
da:a1:19:dd:ea:67
da:a1:19:f3:c3:ca
e0:99:71:99:5d:4b
f0:79:59:42:27:eb
f0:b0:52:05:46:00
c8:14:51:b0:1e:49
78:fd:94:99:ba:21
9c:a5:c0:0e:68:de
9e:86:c8:18:07:f2
b0:10:41:94:5b:f9
e8:65:49:32:e8:30
e0:dd:c0:0d:88:8e
98:6f:60:64:c6:a0
e8:65:49:40:23:22
a4:34:d9:a1:e3:4d
28:27:bf:0c:2b:79
da:a1:19:8a:9b:33
da:a1:19:65:2d:31
08:ed:b9:79:d5:e9
4c:57:ca:a8:d2:79
48:d2:24:f4:30:cf
00:1e:c0:18:3e:e8
48:5a:b6:d1:21:ad
40:b8:9a:1f:42:05
fe:5c:45:8e:0a:51
68:94:23:c4:ee:f3
f0:25:b7:22:44:44
80:00:0b:34:56:f7
da:a1:19:ad:5f:13
20:82:c0:7a:f1:3f
78:ca:39:bc:40:13
18:59:36:e7:a1:c4
da:a1:19:61:4a:fe
ec:9b:f3:9a:74:19
14:5f:94:73:bc:0a
30:3a:64:37:b0:8b
70:8a:09:74:75:b0
68:fb:7e:98:a1:9d
50:9e:a7:89:62:62
54:e4:bd:eb:03:d4
30:3a:64:2f:47:c0
da:a1:19:57:76:95
da:a1:19:3a:6b:1f
60:f8:1d:7a:2a:3f
da:a1:19:de:22:68
7c:04:d0:c9:03:4a
f0:25:b7:24:6a:e2
a8:9f:ba:e9:2f:d0
5c:e0:c5:02:2b:8c
3e:b5:0e:d9:78:6e
1a:1d:ab:0e:62:a5
3c:77:e6:ff:e2:23
ac:5f:3e:52:d2:9b
2c:56:dc:60:cf:4b
08:11:96:df:93:54
d0:22:be:28:94:8f
e8:65:49:37:cc:62
