macsTodayTMCY
7e:ad:8c:50:50:da
c4:17:fe:cf:af:c3
94:ce:2c:90:fd:a3
6c:88:14:2e:bc:a0
cc:78:5f:97:3e:ab
da:a1:19:ee:98:bc
a2:71:48:5a:95:12
44:33:4c:8a:ad:b9
94:e9:79:69:0d:c5
da:a1:19:18:ca:b5
ec:9b:f3:fa:83:0f
78:7e:61:89:d0:5f
da:a1:19:3b:24:d8
5c:e0:c5:03:b2:95
bc:e6:3f:af:fe:d3
c0:9f:05:b6:51:b4
e4:47:90:00:31:85
d0:22:be:b4:72:e6
34:23:ba:4a:71:22
08:3e:8e:53:e9:37
36:8c:d2:cc:4d:d3
fc:42:03:e0:e7:12
28:e1:4c:86:b5:80
da:a1:19:31:08:85
a8:9f:ba:d7:f7:61
f0:c8:50:37:7d:0e
c4:0b:cb:31:c3:04
f8:59:71:03:41:b6
cc:29:f5:83:ae:f3
cc:f3:a5:e0:fa:44
c8:f2:30:c8:d3:4d
10:2a:b3:d9:f0:20
ec:1f:72:b4:40:b1
2c:f0:a2:7c:4c:c5
3c:b6:b7:03:8a:62
da:a1:19:cd:a8:42
80:ea:96:44:2f:dd
c8:38:70:6b:f6:f9
30:c7:ae:38:97:70
10:02:b5:65:d0:65
d4:ae:05:7c:05:13
da:a1:19:0e:36:30
78:4f:43:3c:84:dd
d8:96:95:cf:d6:82
18:e2:9f:f9:f9:51
b8:27:eb:cf:8d:48
3c:f5:91:5a:25:91
cc:fd:17:b9:52:0b
f4:cb:52:6c:3d:6a
a0:f3:c1:19:a3:11
da:a1:19:9c:b7:d9
90:00:db:71:69:7a
d0:17:c2:16:b8:35
f0:1b:6c:a5:e0:49
da:a1:19:97:25:fc
b0:e2:35:2a:35:2c
3c:fa:43:48:49:d9
7c:91:22:34:2e:32
14:ab:c5:35:6d:99
cc:3a:61:6b:de:0b
3c:f5:91:5a:65:1e
a8:66:7f:ce:96:e7
00:8e:73:17:b6:5b
da:a1:19:86:40:ba
c8:38:70:14:6c:6d
3c:05:18:14:85:14
22:b6:a7:94:5c:0a
da:a1:19:d6:62:13
a0:2c:36:bd:6e:64
da:a1:19:65:b2:21
00:8e:73:17:b6:45
84:b5:41:f6:5b:de
2a:33:23:a5:b9:6e
ec:9b:f3:5d:68:2f
38:71:de:6b:67:b5
0c:b3:19:06:37:9b
98:f1:70:8e:ad:4b
64:cc:2e:28:00:e0
1c:b0:94:4b:2c:33
1c:48:ce:65:8c:d5
54:35:30:c8:f3:0f
76:9f:66:b0:49:09
76:c1:47:e3:2c:2f
98:f1:70:1c:88:2a
e4:47:90:f4:24:b2
82:ff:30:7a:56:4b
74:23:44:5e:5e:d4
26:5e:2f:4d:64:f3
06:20:ed:fc:14:96
f6:18:b9:e1:46:9f
a6:44:1c:d9:8a:61
76:cf:ac:c1:24:8c
64:b0:a6:d6:79:d9
de:0a:29:97:6a:a4
20:82:c0:86:0d:36
fe:e8:1e:c8:93:a1
d0:65:ca:25:d9:bc
14:36:c6:49:20:5b
3a:0c:c0:f3:3f:4b
58:91:cf:5b:00:27
ac:5f:3e:48:f4:a2
b6:24:fa:5d:c9:46
da:a1:19:83:cd:46
14:5d:b7:c8:48:3c
74:23:44:33:6b:25
88:ad:d2:7d:f2:7e
da:a1:19:72:a8:ba
da:a1:19:bb:76:b1
46:60:a6:bf:bc:d6
da:a1:19:71:60:03
c0:bd:d1:c8:18:06
14:2d:27:b9:0d:59
86:e0:07:e1:a9:de
d8:c4:e9:c6:08:b5
64:27:37:56:ce:12
c0:d3:c0:38:32:81
58:91:cf:5b:00:28
5e:5a:30:a2:06:21
da:90:39:dd:ad:7a
70:28:8b:d6:a3:bd
d0:fc:cc:76:65:ad
8a:78:53:46:bf:6d
60:45:cb:04:81:4e
38:2c:4a:3b:da:82
28:56:5a:6b:1a:4d
64:d1:54:2a:a2:d9
00:10:40:aa:25:17
28:fa:a0:ef:71:ac
80:4e:81:81:58:bd
da:a1:19:27:3d:f6
da:a1:19:ea:d6:b0
80:00:0b:32:a5:32
da:a1:19:d5:03:1c
72:b5:d8:f7:d8:58
ac:c1:ee:47:5d:95
a2:18:f5:d5:e4:87
1c:48:ce:65:bd:27
c0:ee:fb:dd:d8:fe
96:d3:ed:6e:69:52
06:09:9f:b3:0a:69
0e:0d:3a:37:d9:11
42:21:96:1c:6e:3a
